City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,atuona,PF,77.41,light rain,-9.8,-139.03,Villa Enata
7,vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
14,puerto ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
15,eyl,SO,79.09,clear sky,7.98,49.82,Amiin Hotel
19,morondava,MG,75.79,clear sky,-20.28,44.28,La Case Bambou
27,avarua,CK,78.8,broken clouds,-21.21,-159.78,Paradise Inn
33,port-gentil,GA,78.8,thunderstorm,-0.72,8.78,Fengshui Residence
45,hambantota,LK,77.0,scattered clouds,6.12,81.12,Bungalow 63
58,bandarbeyla,SO,76.8,clear sky,9.49,50.81,REER XOOSHLE GROUP
63,comodoro rivadavia,AR,78.8,clear sky,-45.87,-67.5,Austral Hotel
73,angoche,MZ,77.45,overcast clouds,-16.23,39.91,Guest House HESADA
85,pascagoula,US,75.2,clear sky,30.37,-88.56,Regency Inn
89,ketou,BJ,76.5,broken clouds,7.36,2.6,Residences Celine Hotel Ketou
94,waingapu,ID,79.11,overcast clouds,-9.66,120.26,Pondok Wisata Elim
102,santa elena,EC,75.2,broken clouds,-2.23,-80.85,HOTEL CISNE II
105,valledupar,CO,79.05,moderate rain,10.46,-73.25,Hotel Arawak Upar
116,tuban,ID,77.18,moderate rain,-6.9,112.06,Hotel Mustika
120,miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
126,sungairaya,ID,79.11,light rain,0.7,108.9,808 artel
150,nikki,BJ,75.94,few clouds,9.94,3.21,Hotel John
160,vila do maio,CV,78.8,few clouds,15.13,-23.22,Residence 'I Delfini'
165,sao filipe,CV,79.29,broken clouds,14.9,-24.5,Tortuga B&B
179,cabedelo,BR,78.8,few clouds,-6.98,-34.83,Lua Mansa Pousada
201,port blair,IN,79.75,scattered clouds,11.67,92.75,Fortune Resort Bay Island
214,nchelenge,ZM,75.04,scattered clouds,-9.35,28.73,Mweru Water Transport
224,ishigaki,JP,75.2,few clouds,24.34,124.16,Hotel Peace Land Ishigakijima
259,maceio,BR,78.8,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
279,santa isabel do rio negro,BR,76.26,scattered clouds,-0.41,-65.02,Hotel GSA
283,georgetown,MY,78.8,scattered clouds,5.41,100.34,Cititel Penang
285,yeppoon,AU,77.0,scattered clouds,-23.13,150.73,Villa Mar Colina
293,tarakan,ID,76.35,heavy intensity rain,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
303,mopipi,BW,75.78,scattered clouds,-21.18,24.88,
304,garowe,SO,75.79,clear sky,8.41,48.48,Curubo Hotel
305,gigmoto,PH,79.27,light rain,13.78,124.39,Cj's Travellers Inn
307,otukpo,NG,75.34,overcast clouds,7.19,8.13,Amb Resort and Gardens
315,idah,NG,77.29,overcast clouds,7.11,6.73,Ubiga Hotel Idah
322,tabou,CI,77.97,scattered clouds,4.42,-7.35,hotêl doufoulougou
323,esna,EG,75.2,clear sky,25.29,32.55,Orient Star Dahabyia Isna 05 Nights Each Sunday
324,sassandra,CI,77.32,scattered clouds,4.95,-6.08,la terrasse
329,port hedland,AU,75.2,overcast clouds,-20.32,118.57,The Esplanade Hotel
341,salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
347,alofi,NU,78.8,broken clouds,-19.06,-169.92,Taloa Heights
348,los llanos de aridane,ES,77.0,clear sky,28.66,-17.92,Valle Aridane
362,kathu,TH,75.2,few clouds,7.92,98.33,Novotel Phuket Resort
366,san pedro,PH,77.0,light rain,14.35,121.02,OYO 412 Viewfort Venue
367,wattegama,LK,77.0,light rain,6.8,81.48,
372,bengkulu,ID,75.07,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
382,poum,NC,78.53,clear sky,-20.23,164.02,Gîte kajeon
384,buchanan,LR,78.19,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
386,padang,ID,77.9,overcast clouds,-0.95,100.35,Mercure Padang
390,narasannapeta,IN,75.65,scattered clouds,18.42,84.05,G.lingaraju home
393,valdosta,US,75.2,few clouds,30.83,-83.28,Courtyard by Marriott Valdosta
394,azare,NG,77.76,scattered clouds,11.68,10.19,Criss Hotel
396,gold coast,AU,75.99,clear sky,-28.0,153.43,Mantra Towers of Chevron Surfers Paradise
399,eha amufu,NG,75.9,overcast clouds,6.66,7.76,NYSC Corpers Lodge Umuhu
406,dicabisagan,PH,78.84,moderate rain,17.08,122.42,Nancy Montanes Bernardo
408,axim,GH,78.26,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
410,tahta,EG,77.0,few clouds,26.77,31.5,Møhãmęd Tãręk 🏠
413,san-pedro,CI,77.4,broken clouds,4.75,-6.64,Hotel Maria
417,singaraja,ID,79.68,overcast clouds,-8.11,115.09,Puri Bagus Lovina Resort
424,puerto leguizamo,CO,78.58,light rain,-0.19,-74.78,la casona de juancho
439,micheweni,TZ,77.11,clear sky,-4.97,39.83,
441,mackay,AU,77.0,broken clouds,-21.15,149.2,International Lodge Motel
446,puerto colombia,CO,77.0,light intensity drizzle,10.99,-74.95,Hotel El Emigrante
453,suphan buri,TH,78.01,scattered clouds,14.47,100.12,Vasidtee City Hotel
457,panguna,PG,78.71,few clouds,-6.32,155.48,
461,dingle,PH,75.31,moderate rain,11.0,122.67,Camp Pasica
473,benguela,AO,77.22,overcast clouds,-12.58,13.41,Hotel Praia Morena
477,meulaboh,ID,75.94,overcast clouds,4.14,96.13,Kost Pria
486,mount isa,AU,78.8,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
490,calabar,NG,75.24,moderate rain,4.95,8.32,NAKS Hotels (Formerly NAF Club)
491,labuhan,ID,77.41,moderate rain,-6.88,112.21,bador sepret
494,banda aceh,ID,78.62,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
499,bambanglipuro,ID,75.83,broken clouds,-7.95,110.28,Puri Brata
500,kroya,ID,76.05,moderate rain,-7.63,109.25,RUSTANTO Fam
512,harper,LR,77.85,scattered clouds,4.38,-7.72,Screensaver
523,kilindoni,TZ,78.58,scattered clouds,-7.91,39.67,Bustani B&B
527,mangrol,IN,78.51,scattered clouds,21.12,70.12,Hotel The Royal Honours
530,yaan,NG,76.98,overcast clouds,7.38,8.57,
531,tessalit,ML,76.48,scattered clouds,20.2,1.01,
532,yuli,NG,79.0,few clouds,9.7,10.27,
538,san quintin,MX,76.42,clear sky,30.48,-115.95,Old Mill Hotel
540,takoradi,GH,78.66,overcast clouds,4.88,-1.76,Raybow International Hotel
551,santo antonio do ica,BR,79.21,broken clouds,-3.1,-67.94,Hotel Fogaça
572,kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
